"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"152","model 17 vs 5","adni","_memory","MMSE_RECALL.bl","-0.00702197318763618","0.206428936020369","-0.00886245766613729","0.272644955979639"
"153","model 17 vs 5","adni","_memory","ADAS_MEMORY.bl","-0.0628099545034786","0.0653924875785402","-0.0643198912997622","0.196311952582686"
"154","model 17 vs 5","adni","_memory","MOCA_MEMORY.bl","0.0172797587824506","0.547939045607443","0.0120129984847648","0.777949649466121"
"155","model 17 vs 5","adni","_memory","CDMEMORY.bl","-0.00344314462014929","0.0697439906113834","-0.00540605500726418","0.0503655228281854"
"156","model 17 vs 5","adni","_memory","COMBINED PVALUES","5","0.00889660575230883","5","0.0339022995462113"
"157","model 17 vs 5","adni","_language","EcogSPLang.bl","-0.00596018061050636","0.154001209323798","-0.00345419296025393","0.575156572844719"
"158","model 17 vs 5","adni","_language","MMSE_LANGUAGE.bl","-0.00417198212904813","0.273337377427769","0.00468409866343302","0.395335320391495"
"159","model 17 vs 5","adni","_language","ADAS_LANGUAGE.bl","0.000434797657931447","0.935035821100954","-0.00339038939297448","0.664243623187444"
"160","model 17 vs 5","adni","_language","MOCA_LANGUAGE.bl","-0.0118708276533476","0.728416676648037","0.00448718193893437","0.930403782121784"
"161","model 17 vs 5","adni","_language","COMBINED PVALUES","4","0.598753296300153","4","0.819504388852275"
"162","model 17 vs 5","adni","_orientation","MMSE_ORIENTATION.bl","-0.00507555721377943","0.292302509628914","-0.00417598414352083","0.559671933733193"
"163","model 17 vs 5","adni","_orientation","ADAS_ORIENTATION.bl","-0.0020283629632161","0.668821309740066","-0.0065747871374356","0.350159282329452"
"164","model 17 vs 5","adni","_orientation","MOCA_ORIENTATION.bl","0.00227191270298418","0.522837608074876","0.00581695490022599","0.255654411060102"
"165","model 17 vs 5","adni","_orientation","CDORIENT.bl","-0.00427684924302825","0.014013934442349","-0.00961499452853225","0.000165156737108001"
"166","model 17 vs 5","adni","_orientation","COMBINED PVALUES","4","0.130333796473226","4","0.0125156040456903"
"167","model 17 vs 5","adni","_visuospatial","EcogSPVisspat.bl","-0.00666051584292106","0.0542064262286617","-0.00479956004875876","0.332049046950359"
"168","model 17 vs 5","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","0.00238016493976164","0.534796654636242","0.00915340394081587","0.102413458928979"
"169","model 17 vs 5","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.00605688438734156","0.363663630819823","2.74811814376127e-05","0.997774510712484"
"170","model 17 vs 5","adni","_visuospatial","COMBINED PVALUES","3","0.140572657528327","3","0.745180509470069"
"171","model 17 vs 5","adni","_execfunc","EcogSPEF.bl","-0.00746190676908327","0.063741584668031","-0.00661905236072704","0.259106274349055"
"172","model 17 vs 5","adni","_execfunc","MMSE_ATTCALC.bl","0.00074130709552615","0.898559187086296","0.00192409611652953","0.826694824546983"
"173","model 17 vs 5","adni","_execfunc","MOCA_EF.bl","0.0104912411163534","0.392661959235296","0.0194691319529025","0.288766047855682"
"174","model 17 vs 5","adni","_execfunc","CDJUDGE.bl","-0.00194590002688707","0.295559115354198","-0.00491072610459817","0.0765025213089731"
"175","model 17 vs 5","adni","_execfunc","COMBINED PVALUES","4","0.298000202972253","4","0.19892855228069"
"176","model 17 vs 6","adni","","MMSE.bl","0.0261328834677224","0.0151337659126099","0.0220272958324956","0.162787775644389"
"177","model 17 vs 6","adni","","CDRSB.bl","-0.01304585011897","0.0468204582065592","-0.0192124800909766","0.0391747892515561"
"178","model 17 vs 6","adni","","EcogSPTotal.bl","-0.00767611338992645","0.0493263330140471","-0.0113292321722141","0.0445564586016594"
"179","model 17 vs 6","adni","","ADAS13.bl","-0.0884198260078974","0.0275006215504027","-0.084017800001293","0.145391711470216"
"180","model 17 vs 6","adni","","MOCA.bl","0.0301893160933607","0.144639381676698","0.0152911711356744","0.609624001718716"
"181","model 17 vs 6","adni","","GDTOTAL.bl","0.00707127722047608","0.481025328733438","0.0103016314524143","0.475351375110961"
"182","model 17 vs 6","adni","","PTAU.bl","-0.211831380764481","0.0237118911576615","-0.381405620519019","0.00501962483329577"
"183","model 17 vs 6","adni","","TAU.bl","-1.91368527326859","0.0253103579490185","-3.4350574745145","0.00604634283887819"
"184","model 17 vs 6","adni","","ABETA.bl","3.68128193617176","0.272903613344847","4.04134826374105","0.411910519528626"
"185","model 17 vs 6","adni","","COMBINED PVALUES","8","2.02200606864684e-05","8","0.000437212221374075"
"186","model 17 vs 6","adni","_memory","EcogSPMem.bl","-0.010051668495093","0.0563873989114717","-0.0102051494742516","0.180020987700327"
"187","model 17 vs 6","adni","_memory","MMSE_RECALL.bl","-0.00952682055759235","0.0883388685571936","-0.00922327619735624","0.247213657411336"
"188","model 17 vs 6","adni","_memory","ADAS_MEMORY.bl","-0.0798811313046076","0.0201513056901803","-0.0738725414074355","0.134005146823957"
"189","model 17 vs 6","adni","_memory","MOCA_MEMORY.bl","0.0229449530790145","0.427589123627853","0.014179567508856","0.739296575895746"
"190","model 17 vs 6","adni","_memory","CDMEMORY.bl","-0.00375405821655587","0.0495366130107765","-0.00356039616226892","0.189426316125134"
"191","model 17 vs 6","adni","_memory","COMBINED PVALUES","5","0.00114522245475481","5","0.0939074693041102"
"192","model 17 vs 6","adni","_language","EcogSPLang.bl","-0.00569910095700335","0.17591312251089","-0.01003511600891","0.104301558050396"
"193","model 17 vs 6","adni","_language","MMSE_LANGUAGE.bl","-0.00607732097968271","0.112219579126886","0.00117380215416256","0.828798265189105"
"194","model 17 vs 6","adni","_language","ADAS_LANGUAGE.bl","-0.00331017611308264","0.537527126250256","-0.0101601057231","0.201255614749469"
"195","model 17 vs 6","adni","_language","MOCA_LANGUAGE.bl","-0.0282713453298235","0.410849711089032","-0.0340544779866885","0.50336570772183"
"196","model 17 vs 6","adni","_language","COMBINED PVALUES","4","0.127454283320464","4","0.284899211324936"
"197","model 17 vs 6","adni","_orientation","MMSE_ORIENTATION.bl","-0.00388238559510631","0.423026115322131","-0.00138362283679521","0.846330517011804"
"198","model 17 vs 6","adni","_orientation","ADAS_ORIENTATION.bl","-0.000998578656427833","0.834243788563349","0.0041550797696594","0.556211197784762"
"199","model 17 vs 6","adni","_orientation","MOCA_ORIENTATION.bl","0.0009783017545474","0.784464358884047","-0.00234817211913512","0.642049103930003"
"200","model 17 vs 6","adni","_orientation","CDORIENT.bl","-0.00384107456675082","0.0282395148338842","-0.00582566193665618","0.0197075406088363"
"201","model 17 vs 6","adni","_orientation","COMBINED PVALUES","4","0.431906047011978","4","0.394793487036106"
"202","model 17 vs 6","adni","_visuospatial","EcogSPVisspat.bl","-0.00960373898501769","0.00574426568376165","-0.0142565638391262","0.00312793215628814"
