"","run_ind","exp_ind","experiment","dataset","seed","RMSE","ASSOC","RMSE_t","ASSOC_t","RMSE_t2","ASSOC_t2","RMSE_ADNI","ASSOC_ADNI","RMSE_UCL","ASSOC_UCL","RMSE_EPAD","ASSOC_EPAD","RMSE_ADNI_CN","ASSOC_ADNI_CN","RMSE_ADNI_MCI","ASSOC_ADNI_MCI","RMSE_ADNI_AD","ASSOC_ADNI_AD","exp_grp"
"460",460,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4585,295.946004925437,0.465145532082539,307.31382330662,0.395308815214975,330.471372311673,0.473775784782638,334.572971623853,0.490471792669785,310.538738168972,0.142714971940011,326.369772999492,0.457079776895492,339.774645894504,0.471890305213783,318.927166548576,0.550425996732349,372.330190169165,0.457228248365426,10
"461",461,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4586,296.128370532519,0.464266659717113,306.8010847354,0.398453033955346,329.301930591346,0.483286663422263,332.949503577939,0.499161740332897,314.667803211914,0.0793364878311594,325.654357604753,0.467411586511629,341.558787191244,0.466756721168026,313.750536090486,0.5762505240799,374.878674397107,0.459968797533913,10
"462",462,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4587,297.349534154418,0.459430894735264,305.492185074683,0.402719694640017,326.354442408645,0.490151343316867,328.930369207337,0.512963754006742,313.582750358107,0.0913498937820212,323.778515609952,0.467338932626992,334.781583839828,0.497164802242072,309.331761192755,0.590650405477282,376.257800620376,0.468836990425193,10
"463",463,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4588,296.104065846363,0.465561623334223,306.173747974428,0.401262524389917,327.616179156473,0.489970083302926,330.106488902017,0.517289309258651,313.500747388354,0.0805987045775173,325.125869410928,0.462650857347201,342.411888698516,0.490560354970642,312.502619019842,0.580066378436948,361.580276753529,0.495228342579934,10
"464",464,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4589,294.79911634216,0.461519556169685,308.713316235078,0.397824525535261,327.581851790654,0.490792234586089,330.855730938187,0.51361989786552,316.191848126893,0.0538543249193933,324.307972643122,0.467964571306658,346.024217582301,0.463127562373953,311.158225847041,0.587616344814097,363.328954346326,0.48581715282157,10
"465",465,15,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_0.75_nc_gpc","ukbb",4590,297.443385481701,0.460795600058263,304.948404867937,0.404430126149231,327.436166337946,0.484162242928253,329.429268824017,0.50975922101105,322.153991357545,-0.0231701263282308,325.443063851874,0.458565264845456,331.004941791055,0.487842860554075,312.768351982412,0.577192319928545,375.631416034634,0.468780273145119,10
"466",466,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4560,297.030604851318,0.459954459313626,305.532347877641,0.404720202558292,328.194881536497,0.490493439113752,331.189702302753,0.514078133979399,317.791795176154,0.0491474287678851,325.200060770241,0.466908744248106,342.909340314543,0.503004835091771,312.382842166224,0.58801014102271,366.96620307848,0.482389632704364,10
"467",467,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4561,298.853980788991,0.447450666805547,303.964903652711,0.414354286622506,328.071943962749,0.479471943625659,327.755765129931,0.517461810158103,316.712931213615,0.0294756911365498,328.388122795567,0.441482077093215,335.162765613939,0.480409683193234,307.545547183542,0.599406367964189,374.230648365075,0.483226433292989,10
"468",468,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4562,296.332636308702,0.45988623941281,306.439093016035,0.403375705535046,328.950170800039,0.483830857774438,334.75269959062,0.492465210106622,311.859844848773,0.110966145604894,323.147642009457,0.475196505442254,350.185019246878,0.428977063915628,312.506241907124,0.585018954411049,373.771920671887,0.475764325830014,10
"469",469,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4563,296.450844592024,0.458604359901303,306.19332653708,0.404854009969156,330.321993185707,0.477393936192033,332.639449105191,0.504044936071577,323.862578898341,-0.0260914010782518,328.004537266224,0.450742936312489,343.667916987365,0.492156534425163,313.728332720192,0.577227947804521,369.854232076959,0.480281182244382,10
